mean_heart_rate,mean_rq_distance,mean_rt_distance,mean_pr_distance,mean_qt_distance,mean_tp_distance,mean_st_distance
65.09875320129363,14.896153846153846,25.931410256410256,13.91089743589744,31.048611111111114,39.534615384615385,19.747685185185187
47.15440283585057,23.125,33.464285714285715,19.13839285714286,35.2813492063492,44.70634920634921,25.1547619047619
64.35535443766231,16.47828282828283,25.591414141414138,15.28493265993266,31.23888888888889,38.89734848484848,19.242361111111112
74.96990574425773,11.265491452991453,27.865384615384617,16.558119658119658,30.601010101010093,34.042929292929294,20.883838383838384
65.58673629910753,14.517424242424243,29.607996632996635,15.102083333333333,35.04328703703704,39.44810606060606,24.926157407407413
83.14695717549661,10.445436507936508,35.43162393162393,15.404685592185588,39.82930264180264,32.0178952991453,31.6002331002331
62.111471023381284,15.31439393939394,28.950000000000003,16.682912457912458,34.90833333333334,40.63333333333333,24.120370370370367
67.9964863942569,13.528409090909092,25.029671717171713,17.55176767676768,29.87651515151515,37.93143939393939,18.41212121212121
55.873239514967985,35.999368686868685,27.519014550264554,21.987761544011544,33.95992063492064,47.86524470899471,22.290764790764786
78.6463282154865,10.760683760683762,25.998397435897434,14.679050116550115,29.402146464646467,34.74305555555556,19.16856060606061
74.30342322074607,18.13888888888889,25.909722222222225,15.006818181818181,29.65530303030303,36.0,18.871212121212125
60.24354387400825,16.543518518518518,35.876851851851846,17.451851851851853,41.30902777777778,40.718518518518515,30.653935185185187
82.18457101658258,12.57738095238095,26.33928571428571,17.178571428571427,32.70668220668221,30.15811965811966,23.01923076923077
57.283150532019725,52.83939393939394,50.38703703703703,19.308333333333334,58.44354256854256,41.89166666666666,42.41898148148148
74.08149335232669,46.5137987012987,27.380591630591628,15.651875901875902,32.706505531505535,35.01044372294373,20.81276223776224
79.95157384987895,11.784722222222221,27.256944444444446,13.843055555555553,31.23939393939394,36.65416666666666,22.0
55.550313105339164,18.103703703703705,67.09074074074076,17.813425925925927,74.96577380952381,55.1712962962963,63.20601851851851
88.77246115181056,10.732142857142856,21.65476190476191,15.350274725274724,27.801282051282055,30.2797619047619,18.000000000000004
62.602169696153396,17.98939393939394,26.826515151515153,18.063636363636363,34.613194444444446,41.02777777777777,22.003703703703703
95.71821627006811,7.783730158730158,21.49090909090909,14.347953435453435,24.876623376623375,33.24848484848485,17.21428571428572
66.34176011065948,19.14962121212121,22.7594696969697,17.69128787878788,30.593783068783065,39.55519480519481,17.270238095238096
98.99233021667216,8.645833333333334,27.427083333333332,13.551736111111111,30.238888888888884,25.715625,22.233333333333334
75.14233662709486,11.763888888888888,25.681818181818187,15.844696969696969,30.62809917355372,37.88939393939394,22.016528925619838
73.62060521155131,13.835858585858587,28.50820707070707,15.643308080808081,30.862121212121213,35.493055555555564,21.186363636363637
90.62744780271724,9.529761904761903,26.17857142857143,13.716575091575093,30.589743589743595,29.355654761904763,20.108974358974358
57.92485201302119,37.02546296296296,29.52106481481481,16.45,34.47579365079365,40.65277777777778,23.041501322751326
59.76982227870499,17.866666666666667,24.86111111111111,15.390343915343914,29.724371693121697,38.984259259259254,17.83912037037037
79.4701986754967,30.621794871794872,60.08974358974359,15.014423076923078,69.67834595959597,35.25000000000001,58.451388888888864
66.4105343757459,16.970396270396268,30.237111499611498,15.83896658896659,34.54284511784512,39.911169386169384,23.791540404040404
92.94835136204732,9.816666666666666,42.06060606060606,17.00643939393939,45.94155844155844,30.671428571428567,36.66233766233766
82.61620619555714,10.403846153846153,25.506410256410252,15.06706487956488,29.506944444444446,33.88205128205128,20.812500000000004
67.41652841939576,18.660353535353533,23.919823232323235,19.838468013468013,31.58541666666667,37.6760101010101,18.536111111111115
76.4921912177076,14.743055555555557,22.375,14.282828282828282,26.584090909090907,34.363425925925924,17.068181818181817
73.27270835744046,11.465277777777779,28.375000000000004,15.069444444444445,31.82575757575758,36.455555555555556,22.90909090909091
86.02170694275958,13.428739316239316,21.834935897435898,16.4093253968254,28.35676129426129,32.99925213675213,15.269841269841267
71.72192079801779,11.472853535353535,28.18813131313131,14.175505050505052,31.814393939393938,36.07965067340067,23.240151515151513
88.15813838651934,9.005555555555555,34.81111111111112,13.436507936507935,38.357142857142854,29.354761904761904,30.202380952380953
77.55686031171079,12.734508547008547,21.81196581196581,14.817307692307692,27.146338383838383,32.95843045843046,15.99368686868687
